Dates,Financials,Consumer Staples,Energy,Industrials,Healthcare,Consumer Discretionary,Utilities,Information Technology,Materials,S&P500,Communication Services
11/9/2000,25700,55500,40800,40800,109900,5200,204800,204800,200,95300,7800
11/10/2000,1200,5700,2200,2200,86000,7200,109200,109200,3000,47200,4300
11/13/2000,3800,15900,3800,3800,47600,30400,291200,291200,18000,74200,16500
11/14/2000,100,39000,4400,4400,92200,5600,110800,110800,18000,55200,15100
11/15/2000,27600,150300,100600,100600,65300,134000,284000,284000,8000,751900,51900
11/16/2000,2400,11400,31000,31000,9600,12800,47600,47600,1300,265600,24100
11/17/2000,500,200700,3400,3400,20500,3200,142000,142000,1100,218300,5800
11/20/2000,4500,8700,5400,5400,8900,13600,240800,240800,1100,152700,5100
11/21/2000,900,127200,600,600,4300,6400,74400,74400,1800,159800,6900
11/22/2000,800,15000,600,600,14700,20000,58800,58800,4300,36300,4700
11/23/2000,800,15000,600,600,14700,20000,58800,58800,4300,36300,4700
11/24/2000,800,2400,200,200,21700,1600,7600,7600,4300,41300,900
11/27/2000,1500,8700,2000,2000,18400,71200,53600,53600,3900,68100,20400
11/28/2000,1400,48300,800,800,22500,29600,506000,506000,2100,53100,3900
11/29/2000,1400,268500,200,200,27000,23200,378000,378000,18300,437000,30100
11/30/2000,900,411000,1000,1000,22600,6000,327200,327200,1900,226800,32400
12/1/2000,7000,485100,1000,1000,18700,5600,140000,140000,2200,71000,6400
12/4/2000,100,2100,600,600,23400,7600,88400,88400,1700,93400,7300
12/5/2000,2200,12900,8000,8000,45700,11600,181200,181200,5300,187600,8300
12/6/2000,3800,253500,4800,4800,18700,65600,141200,141200,24800,214300,39100
12/7/2000,21300,7200,1800,1800,6600,11600,57200,57200,500,76100,9300
12/8/2000,2700,124500,5600,5600,5000,3200,136000,136000,10100,115200,18900
12/11/2000,800,124200,600,600,36200,1600,187600,187600,19300,140900,53900
12/12/2000,28200,7500,4800,4800,22600,22000,47600,47600,5800,43500,13400
12/13/2000,1600,126900,600,600,29500,23600,126800,126800,900,91000,18400
12/14/2000,2700,123300,800,800,10200,52400,129600,129600,100,97800,96200
12/15/2000,1000,6900,5200,5200,8900,26000,408000,408000,100,53400,64800
12/18/2000,400,13200,5200,5200,8400,15600,220800,220800,100,141700,16400
12/19/2000,1100,48300,2600,2600,9400,16400,306800,306800,18500,115200,19600
12/20/2000,3400,11100,10000,10000,8700,23200,313600,313600,2400,369500,35400
12/21/2000,1300,38100,200,200,112800,1600,837600,837600,1700,241100,68200
