Dates,Financials,Consumer Staples,Energy,Industrials,Healthcare,Consumer Discretionary,Utilities,Information Technology,Materials,S&P500,Communication Services
3/2/2007,27800,233700,148200,148200,76000,489200,952800,952800,433000,6671200,342800
3/5/2007,45700,270300,96400,96400,153100,700400,873600,873600,179100,1715500,320100
3/6/2007,40100,125100,67000,67000,156500,1582400,2804000,2804000,599400,1439900,341200
3/7/2007,25800,228600,28200,28200,47400,227600,255600,255600,442400,1599700,173200
3/8/2007,30300,165600,33400,33400,67900,56400,660800,660800,499100,1369400,164700
3/9/2007,17600,143400,53400,53400,92300,99600,410000,410000,154700,1420000,268000
3/12/2007,33700,155700,13800,13800,106700,54800,129200,129200,182400,1138600,94100
3/13/2007,15200,183000,63400,63400,163800,65200,253200,253200,181000,1931100,207100
3/14/2007,55700,542400,29800,29800,208600,454400,375600,375600,195600,2179824,266600
3/15/2007,34600,87600,36400,36400,40000,63600,354800,354800,306100,734700,230400
3/16/2007,42000,225600,41000,41000,64100,41600,313600,313600,117500,1026300,255400
3/19/2007,4700,437100,25800,25800,204500,107200,177200,177200,59100,1100100,111100
3/20/2007,17000,165000,35800,35800,48300,38800,388000,388000,218300,688900,156000
3/21/2007,29200,183000,72800,72800,175900,207200,334400,334400,208000,1312716,459600
3/22/2007,17900,546000,26000,26000,30500,66000,160000,160000,324400,1319700,573400
3/23/2007,21100,915000,22000,22000,785200,42400,136400,136400,50900,1725094,215900
3/26/2007,36000,112500,74600,74600,83500,56000,209600,209600,67100,1222700,213400
3/27/2007,9500,157800,39600,39600,41500,2732400,324800,324800,130100,859200,139100
3/28/2007,26500,550500,54800,54800,168700,172000,370400,370400,443100,1397500,273600
3/29/2007,7800,286500,17000,17000,103300,56800,233200,233200,371600,1014400,211100
3/30/2007,114100,315600,186800,186800,111000,295200,526400,526400,265500,2000200,263500
4/2/2007,442900,106500,62800,62800,43200,103200,188400,188400,73200,1216500,275200
4/3/2007,67200,250500,34600,34600,124400,121600,154000,154000,142600,756762,871417
4/4/2007,12600,184200,20000,20000,46200,787600,156400,156400,52500,674000,1001100
4/5/2007,6200,125400,13200,13200,33200,70000,192000,192000,58100,606400,354100
4/6/2007,6200,125400,13200,13200,33200,70000,192000,192000,58100,606400,354100
4/9/2007,13100,561600,52000,52000,51200,43200,176000,176000,353000,699500,285300
4/10/2007,15500,254100,28000,28000,23500,85200,203600,203600,53400,508800,241900
4/11/2007,17400,269700,20800,20800,42900,116400,182400,182400,252500,1119300,663100
4/12/2007,11000,597300,12200,12200,28000,48000,136000,136000,520100,648000,183610
4/13/2007,5500,202800,14800,14800,29900,126400,207200,207200,79700,1123900,578470
4/16/2007,9800,168000,59400,59400,157400,550400,316800,316800,155200,982311,123500
4/17/2007,9700,103800,19400,19400,331300,24400,588000,588000,127400,685900,235198
4/18/2007,9100,157500,29400,29400,90800,64000,254800,254800,107200,947754,180200
4/19/2007,17600,127800,50600,50600,50200,83600,365600,365600,45800,958154,177700
4/20/2007,17800,97500,26000,26000,78100,90400,474800,474800,222700,1764760,195400
4/23/2007,9100,153300,25400,25400,74700,48000,113600,113600,22400,1015347,460300
4/24/2007,16400,930900,48600,48600,35600,59200,356000,356000,55700,962300,299200
4/25/2007,92700,347700,20200,20200,107400,70000,162800,162800,145500,1109135,154115
4/26/2007,10200,75600,66000,66000,57700,474800,199200,199200,81800,658456,333300
4/27/2007,8100,160500,60600,60600,20500,60800,153600,153600,38364,1133266,291027
4/30/2007,13900,145500,86000,86000,65100,199600,214400,214400,100430,1322364,236400
5/1/2007,453700,1078800,55800,55800,80500,1384800,965200,965200,258000,1215340,1932525
5/2/2007,60700,173700,74600,74600,76400,94800,224400,224400,48400,1302300,193875
5/3/2007,13500,377700,48000,48000,32500,52800,118000,118000,45300,807000,473900
5/4/2007,16700,167700,33600,33600,127200,85200,252000,252000,85500,1027801,873100
5/7/2007,9800,158700,57200,57200,58900,314800,95200,95200,36200,578959,268600
5/8/2007,80000,200700,68600,68600,98000,122800,648800,648800,58500,1630400,383100
5/9/2007,6700,783300,39600,39600,59600,224000,140800,140800,32300,860900,589300
5/10/2007,20100,154500,39200,39200,329100,90400,272800,272800,222900,1066324,179700
5/11/2007,14300,242700,32000,32000,59800,98400,142000,142000,62900,1037883,139300
5/14/2007,6100,375300,27000,27000,123900,144800,104800,104800,64700,845454,242200
5/15/2007,42800,317400,33800,33800,30300,248800,600800,600800,70000,1075100,210000
5/16/2007,7400,207000,31600,31600,29100,88400,275600,275600,141900,1375500,190500
5/17/2007,13600,273900,15800,15800,36000,131200,157600,157600,100300,1114700,303500
5/18/2007,15200,210300,89600,89600,45300,47200,228400,228400,183900,1470575,246800
5/21/2007,20200,177000,67800,67800,53500,86000,679200,679200,189100,2456927,507700
5/22/2007,14200,297000,33400,33400,111200,63200,217600,217600,97800,1487000,194800
5/23/2007,13200,162900,27800,27800,35700,59600,605200,605200,124200,1491800,236100
5/24/2007,10100,132600,36200,36200,118400,823600,377600,377600,79800,3609200,143800
5/25/2007,5600,148800,30800,30800,67600,146800,240800,240800,38400,1703900,334670
5/28/2007,5600,148800,30800,30800,67600,146800,240800,240800,38400,1703900,334670
5/29/2007,9200,123300,205800,205800,47700,1019600,293200,293200,53500,1398200,1399500
5/30/2007,9300,107100,91400,91400,107500,275600,133600,133600,53100,1484100,1377100
5/31/2007,8600,229200,57000,57000,37300,84400,505600,505600,33100,1928000,346300
6/1/2007,4100,481800,38200,38200,49000,443200,436800,436800,520300,1619250,2693300
6/4/2007,10200,91263,27200,27200,34700,119200,204000,204000,52700,782500,468800
6/5/2007,41900,135000,54200,54200,211300,186000,392000,392000,59300,2086700,896500
6/6/2007,26000,434700,53600,53600,80100,422000,559600,559600,71200,1638470,418000
6/7/2007,17800,196500,106000,106000,434600,574400,618400,618400,100200,1802292,710900
6/8/2007,33200,431100,191600,191600,128000,161600,598000,598000,208500,2124900,168100
6/11/2007,11400,105600,49600,49600,35300,502800,362000,362000,277800,1813030,521100
6/12/2007,13400,477000,65600,65600,182400,800800,325200,325200,151500,2037959,171100
6/13/2007,12100,168900,59600,59600,66000,146000,94800,94800,84500,2396500,246698
6/14/2007,11900,525900,35200,35200,150700,42400,111200,111200,53200,1493803,382700
6/15/2007,4900,168000,40000,40000,91600,171600,146000,146000,71900,1895821,511800
6/18/2007,3100,249600,54800,54800,205900,52800,458800,458800,77400,1076280,622400
6/19/2007,14100,449100,113800,113800,26100,50800,297600,297600,94800,2509958,996100
6/20/2007,6400,1477500,56200,56200,469800,107200,578800,578800,153200,4800229,336300
6/21/2007,53300,310200,71600,71600,120700,590400,524800,524800,193000,4603634,350300
6/22/2007,8800,381000,96800,96800,125200,162800,406800,406800,51900,3650309,189700
6/25/2007,9400,212100,109200,109200,290000,617200,202800,202800,52900,3600639,354950
6/26/2007,17000,513600,65800,65800,143200,289600,216800,216800,63000,3612258,3302900
6/27/2007,29600,600300,64200,64200,591000,163600,2615600,2615600,77500,2387432,385800
6/28/2007,26500,611400,108600,108600,317400,199200,257200,257200,136800,2540009,523000
6/29/2007,19100,465000,93600,93600,245100,465600,537200,537200,63200,3761626,277100
7/2/2007,24900,217800,95200,95200,29900,253600,438800,438800,114600,1620160,2319950
7/3/2007,3700,288600,38600,38600,13200,58000,214800,214800,163300,1605600,325600
7/4/2007,3700,288600,38600,38600,13200,58000,214800,214800,163300,1605600,325600
7/5/2007,19200,571200,65600,65600,278300,406000,1212400,1212400,154900,1685023,1781700
7/6/2007,17700,633000,55200,55200,135400,156000,307200,307200,77200,1212174,347700
7/9/2007,17700,863700,114000,114000,98700,65200,559600,559600,84900,2364900,153400
7/10/2007,27200,335400,64200,64200,43000,761600,298800,298800,161700,2852002,766100
7/11/2007,8100,129300,50600,50600,114800,60800,350800,350800,350900,3203200,281400
7/12/2007,27500,346800,184800,184800,74300,288000,562800,562800,549400,1604069,187100
7/13/2007,12700,168900,112800,112800,36200,97200,614000,614000,182200,1649521,198560
7/16/2007,32500,391800,169400,169400,127700,221600,497200,497200,115900,1920500,315300
7/17/2007,34700,160200,114400,114400,122800,329600,817600,817600,120400,1189100,253800
7/18/2007,21000,257100,125200,125200,243900,366400,403200,403200,104000,2791522,135800
7/19/2007,6000,211200,150200,150200,134500,65600,944800,944800,123000,2913131,73800
7/20/2007,25800,312900,189600,189600,117100,230800,792000,792000,201900,2460803,209700
7/23/2007,13900,203700,47600,47600,137000,58000,692000,692000,135900,1452495,318000
7/24/2007,16600,306900,114600,114600,258400,277600,578000,578000,106400,2808251,649700
7/25/2007,25300,381600,95400,95400,250700,249200,2329600,2329600,325800,4114466,194800
7/26/2007,88200,768300,358600,358600,148900,842400,1294000,1294000,689000,9267145,1158616
7/27/2007,13700,387900,327200,327200,306000,306000,676000,676000,337700,3822952,2165200
7/30/2007,16700,387300,335800,335800,49300,960800,522400,522400,232497,9796415,260500
7/31/2007,115800,364200,354000,354000,780200,291600,748400,748400,245100,3780646,696800
8/1/2007,58000,392100,1183000,1183000,135400,698800,762400,762400,426300,4226980,963800
8/2/2007,23500,277500,115400,115400,74800,131200,798000,798000,144000,3030715,726100
8/3/2007,14400,1299573,204600,204600,145300,164400,457200,457200,158200,3819044,811900
8/6/2007,46900,1448655,280600,280600,258500,2206000,799600,799600,569000,5938572,453000
8/7/2007,54000,702900,118600,118600,79200,405200,622400,622400,446400,2785782,918100
8/8/2007,45900,645000,125800,125800,119700,612400,1412000,1412000,591500,2213235,376200
8/9/2007,18100,711300,193200,193200,61100,1464000,510800,510800,389960,4604426,877500
8/10/2007,13400,510600,163000,163000,103100,507200,1149200,1149200,174200,4630496,771600
8/13/2007,9200,229500,137400,137400,105600,63600,368800,368800,319400,2194000,511200
8/14/2007,14300,176700,112400,112400,172600,1128800,563600,563600,172100,3436455,346700
8/15/2007,35900,247200,183600,183600,185900,1021200,1449600,1449600,750500,3758585,682175
8/16/2007,127700,898605,385600,385600,227000,1926800,1960400,1960400,791314,10293542,916500
8/17/2007,31000,508413,228800,228800,63400,685600,766000,766000,859332,5710800,411000
8/20/2007,34500,478500,83600,83600,89200,339600,730000,730000,465100,3789831,134200
8/21/2007,13600,273300,107400,107400,62000,117200,176400,176400,282200,2539300,554100
8/22/2007,53000,295500,93800,93800,54300,236000,834400,834400,192300,2138500,266600
8/23/2007,14100,511500,79400,79400,65100,396400,538400,538400,447200,3067600,663400
8/24/2007,8800,197700,41200,41200,113300,1237600,506000,506000,416400,1892300,287500
8/27/2007,3900,228000,55000,55000,235600,207600,284800,284800,239300,1585600,139400
8/28/2007,11700,102600,43600,43600,145500,192800,408400,408400,318000,2657700,201500
8/29/2007,8500,306300,23200,23200,84600,736800,535600,535600,227800,1641200,175100
8/30/2007,7800,94500,51600,51600,34400,231600,649200,649200,277700,2069300,191900
8/31/2007,18400,400800,102800,102800,52400,831600,532400,532400,299800,2690500,1678400
9/3/2007,18400,400800,102800,102800,52400,831600,532400,532400,299800,2690500,1678400
9/4/2007,33100,552300,204200,204200,140800,129600,2071200,2071200,267100,2692300,580800
9/5/2007,11600,154200,111200,111200,49300,441200,615600,615600,236500,1697100,201000
9/6/2007,35000,168900,64600,64600,66000,342000,524400,524400,220900,1765600,441700
9/7/2007,41200,118500,128200,128200,110200,436400,927600,927600,276800,3926900,202100
9/10/2007,7600,628500,160200,160200,170000,449200,976000,976000,644000,2503300,472200
9/11/2007,25200,178200,102000,102000,63400,201600,529200,529200,267300,2146500,160000
9/12/2007,66100,452700,81400,81400,31400,186800,1151200,1151200,215400,1419900,257100
9/13/2007,37300,125700,36600,36600,72600,224800,585600,585600,204300,2122300,497800
9/14/2007,6400,434100,31200,31200,56000,193600,1299200,1299200,139900,2332800,257000
9/17/2007,9500,294600,30800,30800,22300,146000,2220800,2220800,118500,1057600,485200
9/18/2007,39400,362700,168600,168600,82100,340800,1148400,1148400,327900,3653500,342400
9/19/2007,17000,292500,280000,280000,93600,486800,868000,868000,360000,2618200,575300
9/20/2007,13600,145800,92400,92400,88500,276400,469600,469600,201900,1456045,328600
9/21/2007,7900,133500,32200,32200,99500,70000,589600,589600,161600,1139600,177700
9/24/2007,14100,428700,70800,70800,96200,476000,557600,557600,155300,4398600,381900
9/25/2007,18300,1097100,70800,70800,159900,1179600,498800,498800,106700,2004300,270900
9/26/2007,26600,466800,50200,50200,43000,207200,587600,587600,102300,3038400,101700
9/27/2007,8100,298200,35200,35200,41400,44800,3851600,3851600,61500,2963000,485100
9/28/2007,26000,121500,70400,70400,42800,461200,236400,236400,65600,1747800,172600
10/1/2007,45900,150300,101400,101400,3093200,198000,467600,467600,86500,1575700,1623400
10/2/2007,13200,693600,56400,56400,33700,143200,374800,374800,210200,3409500,432600
10/3/2007,7800,88200,46600,46600,345700,138800,599600,599600,209100,1763500,265000
10/4/2007,25200,483600,37400,37400,58100,294400,377600,377600,160300,1048700,492000
10/5/2007,38300,126900,58000,58000,31000,1292000,388000,388000,222300,2411200,154500
10/8/2007,7400,1233900,58600,58600,22200,283600,249200,249200,88400,1435300,121500
10/9/2007,22900,421500,122800,122800,37600,372800,758800,758800,139600,2505800,254100
10/10/2007,10700,102300,125000,125000,15700,226400,436400,436400,104200,2203400,228900
10/11/2007,7400,355200,64000,64000,20800,300000,1611600,1611600,227200,6799395,673300
10/12/2007,8300,143700,43000,43000,32900,164000,573600,573600,69000,1976462,94300
10/15/2007,12600,234000,121800,121800,90300,109600,520800,520800,96000,2129913,278700
10/16/2007,7800,156000,55600,55600,30500,138800,2776000,2776000,102100,2212437,351100
10/17/2007,7600,768900,89000,89000,96900,166800,826000,826000,132600,3296355,496600
10/18/2007,8400,93900,37800,37800,60100,234000,340000,340000,97700,2034899,308700
10/19/2007,29400,443100,106800,106800,40800,360000,1188000,1188000,119900,4037081,162900
10/22/2007,24600,329400,224000,224000,83000,500800,1022000,1022000,305700,3701396,1275300
10/23/2007,18400,682200,128800,128800,33200,277600,816400,816400,148300,2837261,200800
10/24/2007,22900,483300,404200,404200,112000,733600,4761200,4761200,295100,4609741,364200
10/25/2007,7700,402000,113400,113400,112400,481600,1365200,1365200,108900,4293977,405100
10/26/2007,8600,228300,90400,90400,70700,154000,1055200,1055200,208300,2336789,255700
10/29/2007,12500,199200,115400,115400,114000,403600,2128400,2128400,95900,1974400,618200
10/30/2007,14200,729300,107400,107400,20900,667600,981200,981200,159500,1889217,251500
10/31/2007,21400,829500,119200,119200,32700,424000,1298400,1298400,158600,3686416,332500
11/1/2007,19400,426300,131600,131600,266300,622400,832400,832400,485800,3797584,1055100
11/2/2007,5300,279600,179200,179200,35800,290000,1059200,1059200,428200,2723310,749300
11/5/2007,75700,416880,121200,121200,107200,544000,741400,741400,86500,3874377,876462
11/6/2007,11000,321000,161200,161200,38000,314000,1016460,1016460,349200,1751979,628178
11/7/2007,30200,302700,132400,132400,59600,498000,817680,817680,195315,2628273,428975
11/8/2007,17300,627000,90060,90060,237595,803820,2012500,2012500,1263045,4890474,1021323
11/9/2007,38100,232230,279400,279400,31700,511200,1697600,1697600,319763,4411542,760600
11/12/2007,13350,732003,277800,277800,64000,392400,1342468,1342468,409000,4495082,302716
11/13/2007,9900,629523,51004,51004,190300,192800,1099660,1099660,277485,2691757,322200
11/14/2007,14350,328557,56840,56840,21350,252800,1094400,1094400,164603,1910228,203100
11/15/2007,25500,790800,92526,92526,39700,534000,788536,788536,264000,4627520,156697
11/16/2007,19300,417354,109200,109200,60325,216800,560000,560000,122200,4580982,349000
11/19/2007,72800,445200,211000,211000,26700,300400,1381200,1381200,267741,3367603,291950
11/20/2007,8500,574080,101600,101600,48700,143200,1016000,1016000,448900,3976077,467100
11/21/2007,16660,391476,174800,174800,37900,226400,405520,405520,163740,3401367,412780
11/22/2007,16660,391476,174800,174800,37900,226400,405520,405520,163740,3401367,412780
11/23/2007,11200,231189,80200,80200,6100,127200,227968,227968,100300,1191890,82500
11/26/2007,352170,423960,126200,126200,29600,430400,479600,479600,282100,2920702,277300
11/27/2007,61078,317490,78400,78400,74400,244000,818600,818600,265200,2121463,882000
11/28/2007,51400,267000,76800,76800,204101,198000,479600,479600,279257,2159467,454131
11/29/2007,31300,512700,77000,77000,184300,354400,621296,621296,195101,2124769,1732001
11/30/2007,57400,722160,128812,128812,54000,187600,547164,547164,205255,2670730,216200
12/3/2007,114500,254190,543340,543340,108292,236400,595440,595440,169227,1640384,264950
12/4/2007,28900,84300,63000,63000,22295,482000,328800,328800,91985,2782012,120600
12/5/2007,46700,891900,88000,88000,112100,190400,616000,616000,113400,3244355,377800
12/6/2007,22700,623700,75400,75400,73100,378000,652160,652160,443600,2233334,201100
12/7/2007,54600,572700,39600,39600,27100,1084000,606400,606400,104400,2320235,221550
12/10/2007,43934,543300,116800,116800,39300,177200,402200,402200,215400,1805267,163101
12/11/2007,29500,516003,189400,189400,34801,124000,524800,524800,502200,2888975,316000
12/12/2007,28300,765600,122200,122200,31900,446400,855200,855200,424800,3098535,688800
12/13/2007,35600,747600,46000,46000,47900,2169600,918400,918400,182400,3225801,355400
12/14/2007,31400,714597,44600,44600,32100,684400,453600,453600,170400,1590867,326100
12/17/2007,25400,550800,62200,62200,25600,596000,582000,582000,175000,1895153,277820
12/18/2007,13700,1003500,70400,70400,26200,495200,771200,771200,187000,2648849,881260
12/19/2007,18200,505200,93200,93200,39800,192400,503200,503200,108000,2947002,719400
12/20/2007,12600,312900,55200,55200,45800,186800,607000,607000,85100,2795150,649150
12/21/2007,18800,133500,62600,62600,30400,348400,570000,570000,93800,3189556,212900
12/24/2007,8200,95700,56400,56400,30200,116800,304800,304800,43000,1092926,80100
12/25/2007,8200,95700,56400,56400,30200,116800,304800,304800,43000,1092926,80100
12/26/2007,8306,729000,62000,62000,41900,212000,1258400,1258400,93600,1726798,130300
12/27/2007,15302,315126,52802,52802,273425,330000,810160,810160,130904,2707963,525536
12/28/2007,19195,170937,52482,52482,24600,131400,376200,376200,147752,2620052,136770
12/31/2007,5800,168762,44262,44262,14700,120800,414800,414800,164727,2923093,387080
1/1/2008,5800,168762,44262,44262,14700,120800,414800,414800,164727,2923093,387080
1/2/2008,304487,590850,438600,438600,113628,656000,1664180,1664180,288106,3629194,454784
1/3/2008,18100,495585,43258,43258,33900,236000,569600,569600,214922,1896777,583770
1/4/2008,11800,997518,97600,97600,42080,377600,3921212,3921212,198026,2294254,551829
1/7/2008,22300,1323225,102768,102768,65400,456800,2397732,2397732,194239,3724390,210838
1/8/2008,66700,1350642,109600,109600,130625,212800,1445556,1445556,257605,3035993,1074459
1/9/2008,39900,1364931,108600,108600,97700,761200,987460,987460,198820,3775613,553335
1/10/2008,31400,979812,110400,110400,148650,390800,1170120,1170120,525028,4253434,1012219
1/11/2008,21935,801687,102700,102700,67350,246000,996808,996808,248140,4095855,275462
1/14/2008,282440,859242,74800,74800,66200,138000,969156,969156,164348,2627830,432780
1/15/2008,96075,1073199,72400,72400,177041,657600,502400,502400,247889,2257036,970595
1/16/2008,41900,941826,130600,130600,102652,334208,1553068,1553068,433004,4081298,1308837
1/17/2008,44650,2224200,776800,776800,90725,404800,1201356,1201356,494251,4405082,1158842
1/18/2008,178760,2455326,247524,247524,106228,567100,1521248,1521248,576326,3633893,447182
1/21/2008,178760,2455326,247524,247524,106228,567100,1521248,1521248,576326,3633893,447182
1/22/2008,181900,2466420,300600,300600,389615,342400,2043480,2043480,336764,5856240,795501
1/23/2008,86108,2343489,712602,712602,140233,339200,1674552,1674552,416592,5779796,702451
1/24/2008,21700,1876452,510218,510218,134250,341600,790348,790348,272239,4314931,564724
1/25/2008,240000,1737303,107626,107626,109136,281096,927972,927972,305617,5300192,847679
1/28/2008,23114,2366172,143200,143200,131930,236800,672152,672152,302036,3775845,448550
1/29/2008,18127,1062900,118600,118600,43014,173600,490728,490728,161163,2061634,261168
1/30/2008,83100,2150730,66000,66000,53610,244616,927428,927428,199007,3761565,275887
1/31/2008,42500,3342672,62432,62432,100800,273600,972108,972108,286164,4137264,1660168
2/1/2008,92800,1572477,131400,131400,133480,220800,740292,740292,225492,2544599,718029
2/4/2008,31400,1523871,75000,75000,65000,213600,1132000,1132000,194354,1751765,336972
2/5/2008,24200,1023315,589000,589000,46557,238800,497808,497808,633435,3907899,376907
2/6/2008,10600,1008129,163800,163800,39472,142800,432468,432468,279272,2600637,352723
2/7/2008,481700,1444542,132400,132400,56600,218420,1376008,1376008,207716,3447765,370438
2/8/2008,10414,727500,86458,86458,82200,334800,712476,712476,129549,2521805,423795
2/11/2008,9000,769551,57600,57600,72190,1629036,322852,322852,350750,3504241,193300
2/12/2008,28245,870603,87800,87800,69006,1756652,459480,459480,484075,2943222,357775
2/13/2008,17170,860235,89200,89200,54425,190800,409356,409356,358289,3021340,292450
2/14/2008,11200,1024056,93600,93600,79726,371200,618572,618572,614367,2684839,323436
2/15/2008,18100,1288164,77712,77712,39400,302400,329100,329100,230957,2808410,212427
2/18/2008,18100,1288164,77712,77712,39400,302400,329100,329100,230957,2808410,212427
2/19/2008,27080,1659516,115400,115400,70500,655600,559172,559172,320598,3492312,561623
2/20/2008,19105,1370589,140640,140640,45900,1070800,1318000,1318000,571995,3898261,594004
2/21/2008,37600,1981110,165800,165800,39925,757200,1004000,1004000,660664,3284717,485944
2/22/2008,24244,1531086,195100,195100,103189,1861200,986000,986000,642167,2547011,279551
2/25/2008,43500,1619868,286600,286600,87800,1449868,881084,881084,814008,2085819,349174
2/26/2008,13500,814557,108200,108200,76319,731716,627884,627884,1072250,2123105,425138
2/27/2008,41600,963753,178400,178400,49587,283600,828380,828380,1076914,1864227,332481
2/28/2008,30200,839574,123800,123800,44992,513200,477028,477028,757090,2679118,414294
2/29/2008,38600,744816,136800,136800,65571,560000,494884,494884,693351,2487473,189727
3/3/2008,493719,1071687,70450,70450,52900,206400,2296460,2296460,719829,5488257,312655
3/4/2008,39900,1744188,229000,229000,45900,633600,809176,809176,1081587,3817418,623659
3/5/2008,42646,1139493,172600,172600,29535,513600,540348,540348,535458,2899281,308088
3/6/2008,22700,1015089,97364,97364,97500,320400,538148,538148,524695,2476894,306033
3/7/2008,12980,1589343,160296,160296,111800,423792,1132604,1132604,1006115,4391732,354139
3/10/2008,64988,1608423,218482,218482,95550,887600,734080,734080,912619,3040331,306062
3/11/2008,22157,1302504,95600,95600,155784,452000,1009000,1009000,806082,3830238,218118
3/12/2008,29600,1056228,87600,87600,117600,184400,529600,529600,725400,2058479,312435
3/13/2008,35600,1558128,262400,262400,35700,466000,861400,861400,1008551,4754284,378410
3/14/2008,59800,2176551,183200,183200,162800,772120,1888220,1888220,1086132,4410365,361970
3/17/2008,49400,2956749,90718,90718,86299,362000,1216340,1216340,1307435,3764182,695952
3/18/2008,34400,2039868,107740,107740,69485,782400,2070324,2070324,799999,3220322,419069
3/19/2008,28600,2735547,108000,108000,23625,272612,1194020,1194020,1138233,3725585,774624
3/20/2008,33200,2019843,125624,125624,49500,405600,639636,639636,1311119,2471037,199056
3/21/2008,33200,2019843,125624,125624,49500,405600,639636,639636,1311119,2471037,199056
3/24/2008,21400,1360707,85462,85462,40730,441600,823488,823488,369055,3380897,609278
3/25/2008,29200,1432605,189600,189600,59100,350716,1390332,1390332,526004,8063473,352475
3/26/2008,10500,1076934,61378,61378,33292,386632,435920,435920,481309,2467351,371826
3/27/2008,11500,1373022,65000,65000,49600,140800,1277448,1277448,468725,2194927,170542
3/28/2008,10000,1066362,70800,70800,19700,320800,328688,328688,371277,2300547,158800
3/31/2008,17700,1198308,44200,44200,31775,297200,280200,280200,705955,2841606,192514
4/1/2008,87100,1018806,247600,247600,79288,401200,776560,776560,901141,3117712,521643
4/2/2008,24900,1001631,118432,118432,46277,378000,275864,275864,557420,2852728,368323
4/3/2008,34000,1066506,538600,538600,232000,153724,746624,746624,479626,2635921,234216
4/4/2008,14600,1169112,501400,501400,33976,150520,338184,338184,994191,2749133,441299
4/7/2008,35700,1733439,278800,278800,140600,134000,709972,709972,710392,1905200,214158
4/8/2008,246600,1091409,141200,141200,45212,92400,718980,718980,327397,4251166,193734
4/9/2008,13900,1271490,150600,150600,23600,215200,300752,300752,315847,2012946,232861
4/10/2008,14385,1052493,81600,81600,61800,127200,422572,422572,321638,2210802,374800
4/11/2008,29300,1401705,276400,276400,48400,112400,390924,390924,620957,2217334,251274
4/14/2008,13619,1578414,139168,139168,41791,134816,271444,271444,272888,1918694,146315
4/15/2008,26609,1419456,216638,216638,53149,215048,293096,293096,377419,2172138,185045
4/16/2008,15843,1898241,127198,127198,31139,146644,1088464,1088464,674553,2617780,376533
4/17/2008,19279,1801620,127478,127478,34976,53880,396672,396672,457661,2631085,361608
4/18/2008,30409,1875849,158756,158756,49797,176188,927040,927040,418641,3823235,212300
4/21/2008,29464,1271037,167700,167700,32975,55992,434712,434712,311085,3697275,104852
4/22/2008,19998,1761603,615244,615244,38136,141544,906392,906392,468596,2655881,256330
4/23/2008,15735,1978728,224866,224866,58909,306872,559044,559044,527939,1868740,235685
4/24/2008,19671,2225667,168250,168250,47955,95100,4964132,4964132,540447,1929691,226204
4/25/2008,430987,2305905,84928,84928,45002,157076,631896,631896,519331,2921282,206230
4/28/2008,15370,793032,57988,57988,49958,174640,380000,380000,265771,2038596,121533
4/29/2008,12442,2047269,102908,102908,46289,78768,453316,453316,419154,2512804,155888
4/30/2008,33305,3161562,186200,186200,46361,259928,1610848,1610848,595606,5008387,372230
5/1/2008,455926,2708952,152236,152236,150198,248324,808740,808740,453448,5431301,508224
5/2/2008,56092,1891851,72732,72732,48151,76140,1085372,1085372,466617,4586714,360150
5/5/2008,26794,1237746,154910,154910,59975,64312,1530344,1530344,475433,4158563,561418
5/6/2008,17951,1461051,30024,30024,55132,27292,489824,489824,165542,2737933,294725
5/7/2008,11741,1547772,57728,57728,41004,231592,1976184,1976184,326852,3264296,173346
5/8/2008,13620,1714617,53708,53708,33560,229788,401564,401564,641633,3388533,311724
5/9/2008,23164,1667775,54304,54304,23290,28628,338488,338488,313239,4711243,223095
5/12/2008,20519,1366131,45224,45224,21493,398544,1253016,1253016,383421,2561911,164079
5/13/2008,34944,1931676,54418,54418,124865,179972,1119404,1119404,344235,2864651,355587
5/14/2008,14864,1499403,46160,46160,44634,81860,566988,566988,403075,4241432,361366
5/15/2008,14241,1702563,71306,71306,42388,84216,1705816,1705816,453243,2217752,281321
5/16/2008,12741,2457336,61270,61270,34149,145620,908720,908720,436503,3332193,201050
5/19/2008,7923,2009979,49800,49800,61628,143952,675356,675356,611094,2190158,461323
5/20/2008,11245,2004885,84576,84576,42272,249988,661780,661780,452505,4611942,198242
5/21/2008,52433,2126073,181942,181942,47992,330440,1116212,1116212,821000,4289615,196499
5/22/2008,47291,2580750,218752,218752,40255,480152,988972,988972,908475,2401079,292429
5/23/2008,25729,2173368,86186,86186,41948,275744,662180,662180,454169,2536427,201875
5/26/2008,25729,2173368,86186,86186,41948,275744,662180,662180,454169,2536427,201875
5/27/2008,14880,1703754,91898,91898,115073,204672,747932,747932,513779,4400244,181340
5/28/2008,35254,2050044,175344,175344,21666,197888,484132,484132,440259,2754469,202965
5/29/2008,11336,1695207,42888,42888,48247,79696,415352,415352,363771,3014691,460603
5/30/2008,18173,1607859,179218,179218,17680,300996,4239756,4239756,303782,4142208,476241
6/2/2008,63256,1623819,288176,288176,63755,264504,3019460,3019460,877779,4718581,142081
6/3/2008,24673,1668594,45998,45998,49195,482728,888828,888828,1019358,2575276,344039
6/4/2008,121623,2257011,101810,101810,38880,293236,5757524,5757524,674574,4644929,437619
6/5/2008,19650,1938276,54388,54388,62737,200784,752200,752200,518551,4639379,417684
6/6/2008,14653,3635457,112542,112542,56635,391568,1078096,1078096,564570,6213939,313669
6/9/2008,16164,3109452,50286,50286,33195,741712,2265904,2265904,479692,3677947,452590
