Dates,Information Technology,Healthcare,Energy,Consumer Discretionary,Financials,Communcation Services,Consumer Staples,Materials,Utilities,S&P500,Industrials
11/13/1990,61.18,78.19,90.52,57.8518,54.66,83.74,66.06,61.47,95.34,317.67,64.3
11/14/1990,62.03,78.78,90.32,58.8331,55.35,84.29,66.85,62.41,95.01,320.4,64.82
11/15/1990,61.12,78.3,89.29,57.9245,54.65,83.21,66.1,62,94.31,317.02,64.4
11/16/1990,61.66,78.31,89.68,57.9085,54.66,81.84,66.13,62.3,94.63,317.12,64.44
11/19/1990,62.23,78.74,89.81,58.5922,54.71,82,66.98,63.14,94.79,319.34,64.95
11/20/1990,61.31,77.97,89.23,57.8934,53.37,81.22,66.42,62.43,94.13,315.31,63.41
11/21/1990,61.6,78.24,89.54,57.7876,52.75,81.88,66.57,62.35,95.02,316.03,63.71
11/22/1990,61.6,78.24,89.54,57.7876,52.75,81.88,66.57,62.35,95.02,316.03,63.71
11/23/1990,61.08,78.26,89.66,57.5566,52.48,81.4,66.43,62.29,94.63,315.1,63.43
11/26/1990,61.52,78.86,90.65,57.9505,53.58,81.25,66.5,62.42,94.87,316.51,63
11/27/1990,62.08,79.44,91.1,58.2846,54.32,81.52,66.72,62.78,94.7,318.1,63.1
11/28/1990,61.91,79.38,91,58.4199,54.24,81.53,66.66,62.69,94.88,317.95,63.02
11/29/1990,61.86,79.44,90.67,58.1152,53.64,81.15,66.03,62.26,94.49,316.42,62.82
11/30/1990,62.4,81.41,91.61,58.999,54.71,82.53,67.4,63.8,96.33,322.22,64.27
12/3/1990,64.02,81.81,90.78,59.9466,55.39,81.72,67.92,63.95,96.53,324.1,65
12/4/1990,64.83,82.24,90.54,60.2261,56.82,82.16,68.47,64.19,97.34,326.35,65.53
12/5/1990,65.81,82.5,90.01,61.0427,59.45,82.34,69.2,65.17,97.31,329.92,66.78
12/6/1990,64.92,82.46,88.63,61.2958,58.59,82.16,69.29,65.56,96.87,329.07,67.2
12/7/1990,65.05,82.47,88.52,60.617,57.4,82.39,69.22,65.28,96.15,327.75,67.02
12/10/1990,65.25,82.71,88.77,60.8382,57.7,82.94,69.38,66,96.22,328.89,67.03
12/11/1990,64.23,82.48,88.01,60.216,57.15,82.28,69.14,65.39,95.6,326.44,66.65
12/12/1990,65.33,83.76,87.62,61.1114,57.98,83.68,70.37,66.04,96.38,330.19,67.22
12/13/1990,64.59,83.15,88.16,60.7476,57.64,83.85,70.17,66.38,95.89,329.34,66.97
12/14/1990,63.63,82.13,88.82,59.892,56.83,83.22,69.38,66.25,95.72,326.82,66.47
12/17/1990,63.7,81.79,89.3,59.7422,56.14,83.01,69.21,66.05,95.59,326.02,66.12
12/18/1990,64.72,82.4,89.31,60.9332,57.79,84.21,70.07,66.6,96.75,330.05,66.83
12/19/1990,64.8,82.2,88.82,61.0412,58.33,84.02,69.79,66.92,96.81,330.2,67.23
12/20/1990,65.29,82.02,88.66,60.8422,58.73,83.21,69.86,66.92,96.2,330.12,67.61
12/21/1990,65.82,82.33,88.71,61.4067,58.71,83.85,70.02,67.04,97.11,331.75,68.15
12/24/1990,65.49,82.12,88.99,60.856,58.35,82.8,69.46,66.66,96.64,329.9,67.73
12/25/1990,65.49,82.12,88.99,60.856,58.35,82.8,69.46,66.66,96.64,329.9,67.73
12/26/1990,65.41,82.49,90.08,60.8019,58.56,82.81,69.66,66.89,96.9,330.85,67.67
12/27/1990,65.01,82.08,89.55,60.1658,57.59,82.1,69.24,66.36,96.63,328.29,67.11
12/28/1990,65.02,81.92,89.82,60.2835,57.35,81.97,69.5,66.74,96.46,328.72,67.33
12/31/1990,65.01,82.82,90.34,60.5674,57.56,82.24,70.06,67.2,96.17,330.22,67.38
1/1/1991,65.01,82.82,90.34,60.5674,57.56,82.24,70.06,67.2,96.17,330.22,67.38
1/2/1991,64.82,81.66,89.33,60.2507,56.73,81.32,68.72,66.3,95.3,326.45,66.7
1/3/1991,64.55,79.37,88.13,59.6856,56.1,80.48,67.15,65.28,94.93,321.91,65.97
1/4/1991,64.4,78.44,87.73,59.5741,56.21,80.18,66.99,65.38,94.91,321,65.86
1/7/1991,63.47,76.62,87.13,58.226,54.89,78.47,65.71,64.53,93.95,315.44,64.72
1/8/1991,62.91,76.91,87.21,57.9902,54.3,78.4,65.8,64.39,94.32,314.9,64.47
1/9/1991,62.13,76.22,86.17,57.3905,53.91,77.49,65.01,63.26,93.48,311.49,63.91
1/10/1991,62.89,77.17,86.25,58.1288,54.46,78.39,65.74,64.18,93.93,314.53,64.53
1/11/1991,62.77,77.52,85.67,58.4427,54.57,78.63,66.09,64.56,93.78,315.23,64.82
1/14/1991,61.93,76.83,86.11,57.5704,53.99,77.48,65.38,64.01,92.6,312.49,64.47
1/15/1991,62.53,77.51,86.32,57.998,53.96,77.47,65.65,63.91,92.53,313.73,64.84
1/16/1991,64.37,79.13,86.01,59.001,54.17,77.29,66.08,63.89,92.09,316.17,65.47
1/17/1991,67.1,81.37,86.87,61.8494,56.3,81.02,69.18,66.46,94.27,327.97,68.43
1/18/1991,68.4,81.85,87.56,62.7924,57.5,82.39,69.98,67.51,95.26,332.23,69.24
1/21/1991,69.11,82.07,86.08,62.2334,57.82,82.28,69.57,67.18,94.99,331.06,69.2
1/22/1991,68.2,81.62,86.51,61.3681,57.88,79.53,69.28,66.59,94.41,328.31,68.58
1/23/1991,68.61,82.83,88.17,62.0256,58.27,77.42,69.72,66.82,94.5,330.21,68.84
1/24/1991,69.73,84.39,88.6,62.8318,59.31,78.23,70.65,68.09,94.95,334.78,70.21
1/25/1991,70.12,84.28,88.84,63.04,59.86,79.08,70.65,68.49,94.57,336.07,70.72
1/28/1991,71.02,84.14,88.51,63.1704,59.51,79.42,70.26,68.39,94.46,336.03,70.95
1/29/1991,71.5,83.98,87.67,63.3843,59.55,79.48,70.05,68.43,94.18,335.84,71.13
1/30/1991,73.1,85.56,87.8,65.1268,60.69,79.96,70.92,69.84,93.94,340.91,72.57
1/31/1991,73.43,85.7,88.08,65.9162,61.65,81.24,71.48,70.58,94.09,343.93,73.54
2/1/1991,73.34,85.13,87.39,66.2578,62.32,80.45,71.1,69.96,93.59,343.05,73.63
2/4/1991,74.03,86.42,87.87,67.5842,65.34,81.2,72.12,70.51,93.98,348.34,74.91
2/5/1991,74.87,87.65,87.84,67.9413,66.36,81.49,73.05,71.23,94.35,351.26,75.57
2/6/1991,75.95,88.79,91.7,68.8573,67.32,83.21,74.63,72.73,95.44,358.07,76.53
2/7/1991,75.18,87.73,92.69,68.7056,66.78,83.58,74.04,72.08,96.41,356.52,75.44
2/8/1991,75.92,89.45,92.57,69.0709,67.19,84.22,74.82,72.72,97.21,359.35,75.99
2/11/1991,77.74,92.22,94.4,71.1275,69.73,86.07,76.78,74.79,98.86,368.58,77.6
2/12/1991,77.42,90.93,93.34,70.3112,69.62,84.91,75.8,75.01,98.47,365.5,77.22
2/13/1991,78.56,91.71,94.24,71.146,70.31,85.77,76.56,75.88,99.34,369.02,77.54
2/14/1991,77.77,91.13,92.58,69.8764,68.89,84.77,75.88,74.53,98.38,364.22,76.75
2/15/1991,79.06,93.32,91.85,71.0003,70.01,85.9,77.52,75.46,98.75,369.06,77.87
2/18/1991,79.06,93.32,91.85,71.0003,70.01,85.9,77.52,75.46,98.75,369.06,77.87
2/19/1991,80.78,93.5,91.66,71.2244,68.99,85.53,78.16,75.39,98.81,369.39,77.57
2/20/1991,80.28,92.23,91.87,70.0363,67.67,84.04,77.28,74.53,98.12,365.14,76.5
2/21/1991,79.43,92.47,91.48,70.0251,67.98,83.6,78.02,74.23,98.31,364.97,76.19
2/22/1991,78.9,93.24,91.47,70.2428,68.22,83.34,78.67,73.45,98.19,365.65,76.56
2/25/1991,79.07,94.5,92.03,70.4187,67.9,83.4,79.46,73.06,98.48,367.26,77.02
2/26/1991,77.33,93.26,92.31,69.3618,66.78,82.73,78.09,72.5,97.36,362.81,75.94
2/27/1991,77.75,94.42,95.74,70.2202,67.86,83.58,78.27,73.19,97.71,367.74,77.2
2/28/1991,76.92,93.56,95.48,70.5629,68.17,83.13,77.88,73.34,97.63,367.07,77.33
3/1/1991,77.91,94.05,95.72,71.522,69.82,83.63,78.38,74.18,97.7,370.47,78.17
3/4/1991,77.93,94.1,94.62,71.7407,69.69,82.97,78.02,74.49,96.84,369.33,77.9
3/5/1991,80.63,95.79,95.61,73.6161,71.11,83.94,80.17,76.02,97.34,376.72,79.44
3/6/1991,80.77,95.64,95.81,73.7304,70.78,83.75,79.88,76.32,96.34,376.17,79.13
3/7/1991,81.2,96.15,96.3,73.6959,70.52,83.21,79.8,75.56,96.06,375.91,78.94
3/8/1991,80.73,96.88,96.36,73.3745,70.12,83.09,79.62,75.28,95.54,374.95,78.35
3/11/1991,78.88,96.47,95.33,72.7498,69.95,83.41,79.38,74.68,96.07,372.96,78.26
3/12/1991,77.59,94.92,95.43,72.065,69.32,82.74,78.62,74.28,96.39,370.03,77.69
3/13/1991,79.32,95.77,96.48,73.0111,70.25,83.66,79.8,75.08,96.94,374.57,78.54
3/14/1991,78.5,96.99,95.87,72.5697,69.84,83.39,79.94,74.79,96.24,373.5,78.14
3/15/1991,77.77,96.83,96.13,72.779,69.57,84.12,80.04,74.5,96.65,373.59,78
3/18/1991,78.12,95.71,94.88,72.583,69.54,84.77,80.16,73.26,96.49,372.11,77.69
3/19/1991,73.56,93.54,95.14,71.5171,68.4,83.78,79.37,72.2,96.08,366.59,76.6
3/20/1991,73.01,95,95.9,71.4938,68.2,83.84,80.77,72.19,96.64,367.92,75.95
3/21/1991,71.86,95.15,95.53,70.9514,67.93,83.78,80.96,71.62,96.67,366.58,75.56
3/22/1991,71.82,95.4,96.05,71.4952,68.11,83.3,80.9,71.64,98.03,367.48,75.57
3/25/1991,72.68,96.36,97.04,72.0073,69.31,83.78,80.38,71.78,98.85,369.83,75.98
3/26/1991,74.04,99.04,97,73.7967,71.89,84.55,81.75,72.51,99.47,376.3,77.54
3/27/1991,74.13,98.5,95.7,73.5734,72.13,84.1,81.87,72.91,98.81,375.35,77.54
3/28/1991,74.17,98.02,95.4,73.4017,72,84.53,82.1,73.08,98.89,375.22,77.53
3/29/1991,74.17,98.02,95.4,73.4017,72,84.53,82.1,73.08,98.89,375.22,77.53
4/1/1991,73.12,97.17,94.29,72.5298,71.07,83.82,81.41,72.18,97.73,371.3,76.9
4/2/1991,74.35,100.21,95.65,74.4275,72.71,85.47,83.78,73.47,98.92,379.5,78.43
4/3/1991,74.6,100.17,94.59,74.506,73.6,85.07,83.27,73.56,98.75,378.94,78.34
4/4/1991,75.11,100.57,94.03,74.9896,74.11,84.26,83.67,73.52,98.93,379.77,78.68
4/5/1991,74.03,99.22,93.56,73.9637,73.31,83.3,82.55,72.53,98.32,375.36,77.67
4/8/1991,74.55,100.17,94.52,75.0145,73.89,84.09,82.8,73.48,98.9,378.66,78.26
4/9/1991,73.31,98.73,93.8,73.7691,72.7,83.29,81.7,72.42,97.9,373.56,77.08
4/10/1991,73.95,98.43,93.96,73.5547,72.1,82.8,81.48,72.09,98.18,373.15,77.41
4/11/1991,74.86,99.88,95.5,74.9703,73.55,83.31,82.06,72.5,99.1,377.63,77.91
4/12/1991,75.02,100.45,97.39,75.7032,73.41,84.25,82.57,72.94,99.59,380.4,78.17
4/15/1991,73.85,100.83,98.07,75.5871,73.62,84.25,83.28,73.51,99.75,381.19,78.1
4/16/1991,75.24,102.98,99.13,76.7552,76.09,85.38,84.85,74.45,100.53,387.62,79.28
4/17/1991,75.75,103.61,99.34,77.3485,77.28,86.07,84.81,75.94,100.47,390.45,80.26
4/18/1991,75.61,102.87,98.73,77.2235,76.54,85.23,83.91,76.36,99.23,388.46,80.36
4/19/1991,74.98,100.87,98.48,76.6105,75.14,84.74,82.46,75.76,97.97,384.2,79.65
4/22/1991,74.67,99.39,98.16,75.7638,74.35,84.43,81.78,74.8,97.34,380.95,79.01
4/23/1991,75.11,99.31,99.11,75.8593,74.58,84.07,81.69,75.16,97.57,381.76,79.14
4/24/1991,75.61,98.52,99.39,76.6841,74.66,84.43,81.63,75.95,97.91,382.76,79.13
4/25/1991,74.49,98.94,97.93,75.61,73.75,84.12,80.77,75.18,97.31,379.25,78.51
4/26/1991,74.08,98.94,97.82,75.3582,73.54,84.36,81.04,75.34,97.52,379.02,78.29
4/29/1991,72.64,97.31,97.15,73.8767,72.35,83.33,79.68,74.78,96.87,373.66,77.14
4/30/1991,71.56,97.44,97.83,74.1629,72.36,84.26,80.43,75.26,97.89,375.35,77.5
5/1/1991,70.98,99.96,98.85,75.2314,73.48,84.87,81.75,76.3,98.8,380.29,78.57
5/2/1991,71.58,100.07,98.35,75.5267,74.07,84.04,81.66,76.55,98.37,380.52,78.78
5/3/1991,70.76,100.53,98.42,75.7916,73.38,84.06,81.99,76.78,98.23,380.8,79.01
5/6/1991,70.88,100.51,98.16,75.6011,73.39,83.68,81.57,76.75,97.95,380.08,79
5/7/1991,70.17,100.29,97.51,74.9706,72.8,82.37,80.91,75.91,97.71,377.32,78.74
5/8/1991,71.12,100.29,98.22,75.2371,72.87,81.96,80.99,76.38,98.37,378.51,78.92
5/9/1991,72.95,102.17,99.43,76.5731,73.57,81.96,81.86,77.06,98.65,383.25,79.96
5/10/1991,71.67,100.5,97.16,74.984,71.97,79.78,80.37,75.86,97.14,375.74,78.45
5/13/1991,72.64,100.84,96.59,75.4495,71.27,80.85,80.49,76.34,97.28,376.76,78.68
5/14/1991,72.11,99.47,94.6,74.3446,70.3,79.92,79.34,75.55,96.39,371.62,77.66
5/15/1991,69.2,97.95,94.48,73.6482,70.14,80,78.8,74.89,96.61,368.57,77.08
5/16/1991,69.83,99.46,95.43,74.2674,70.8,80.49,79.96,75.35,97.14,372.19,77.69
5/17/1991,69.73,99.38,95.34,74.3266,70.84,80.69,80.06,75.2,97.54,372.39,77.82
5/20/1991,69.1,100.44,95.23,74.1404,70.83,80.09,80.18,75.51,97.38,372.28,77.65
5/21/1991,68.78,102.53,95.52,75.1732,71.5,80.75,80.93,76.12,97.62,375.35,77.9
5/22/1991,70.47,103.24,94.97,75.4016,72.01,80.31,81.13,76.05,97.58,376.19,77.82
5/23/1991,70.82,102.72,94.33,75.1697,71.96,79.57,81.01,75.59,96.95,374.97,77.87
5/24/1991,71.32,102.58,94.69,75.8608,72.96,80.18,81.59,76.55,96.85,377.49,78.5
5/27/1991,71.32,102.58,94.69,75.8608,72.96,80.18,81.59,76.55,96.85,377.49,78.5
5/28/1991,72.07,103.79,95.23,76.9669,73.99,80.47,82.45,78.7,97.34,381.94,79.55
5/29/1991,71.99,103.39,95.11,77.5045,74.21,80.97,82.33,79.22,97.2,382.79,80.13
5/30/1991,72.47,102.81,95.51,78.5914,75.15,82.7,82.78,80.88,97.66,386.96,82.1
5/31/1991,73.85,101.18,96.15,79.974,75.76,82.85,82.83,82.25,97.31,389.83,83.73
6/3/1991,74.07,99.05,96.74,79.8672,75.44,81.61,81.66,82.68,96.81,388.06,83.94
6/4/1991,73.75,99.59,96.36,79.4966,76.35,81.14,81.67,82.29,96.67,387.74,83.84
6/5/1991,72.5,99.68,95.46,78.8088,76.06,80.33,81.14,82,96.28,385.09,83.2
6/6/1991,72.09,98.74,95.84,78.3297,75.98,80.32,80.84,81.66,96.02,383.63,82.62
6/7/1991,71.08,97.62,94.67,77.3358,74.98,79.7,80.14,80.86,95.44,379.43,81.68
6/10/1991,70.81,97.23,94.82,77.0825,74.47,79.87,80,80.67,95.46,378.57,81.37
6/11/1991,70.94,98.28,95,78.0503,74.68,80.53,80.39,81.23,96.07,381.05,81.88
6/12/1991,70.06,97.82,93.46,76.9244,73.46,79.78,79.63,80.22,95.3,376.65,80.99
6/13/1991,69.82,97.45,93.54,77.1779,73.49,80.39,80.03,80.7,96.03,377.63,81.27
6/14/1991,69.93,99.42,94.13,78.322,73.81,81.99,81.16,81.96,96.71,382.29,82.29
6/17/1991,69.59,98.66,93.21,77.9104,73.29,81.5,80.79,82.38,96.11,380.13,81.72
6/18/1991,69.74,97.94,92.52,77.4331,73.23,81.33,80.24,82.35,95.64,378.59,81.62
6/19/1991,69.43,97.07,91.42,76.7325,72.63,80.59,79.52,81.77,93.99,375.09,80.92
6/20/1991,68.8,97.95,91.92,76.9704,72.69,80.59,79.43,81.71,94.37,375.42,80.52
6/21/1991,68.82,98.5,92.72,77.5794,73.11,81.15,79.77,82.3,94.93,377.75,81.03
6/24/1991,67.36,96.77,91.77,75.4519,71.63,79.9,78.86,80.2,94.26,370.94,79.35
6/25/1991,67.82,97.45,91.72,75.4284,70.55,80.92,78.26,79.73,94.46,370.65,79.26
6/26/1991,68.15,97.43,92.07,75.6388,70.83,81.55,78.51,79.86,94.52,371.59,79.18
6/27/1991,67.83,98.4,92.48,76.3697,71.13,82.94,78.87,80.64,95.14,374.4,79.99
6/28/1991,67.54,96.91,91.54,75.4513,70.63,82.78,78.32,79.93,94.37,371.16,79.4
7/1/1991,68.49,99.14,93.38,76.9057,71.62,84.45,79.89,81.37,95.38,377.92,80.69
7/2/1991,68.24,99.27,92.21,77.1395,71.26,84.28,80.07,81.79,95.33,377.47,80.6
7/3/1991,67.54,98.21,90.51,76.4022,70.21,83.43,79.4,81.3,94.57,373.33,79.68
7/4/1991,67.54,98.21,90.51,76.4022,70.21,83.43,79.4,81.3,94.57,373.33,79.68
7/5/1991,67.89,98.78,90.46,76.5735,70.56,83.02,79.49,81.54,94.68,374.08,79.88
7/8/1991,69.41,99.52,91.91,77.6643,71.11,83.35,80.43,81.93,95.08,377.94,80.51
7/9/1991,69.23,98.7,91.07,77.4942,71.42,82.74,79.87,81.61,94.57,376.11,80.16
7/10/1991,69.07,98.68,91.13,77.4703,71.61,82.76,79.52,81.38,94.34,375.74,80.07
7/11/1991,68.84,98.77,91.52,77.9973,71.66,83.28,79.69,81.67,94.89,376.97,80.33
7/12/1991,69.51,99.65,93.15,78.5645,72.54,83.18,80.86,82.34,95.63,380.25,80.35
7/15/1991,70.06,100.42,93.97,78.8839,74.17,82.64,81.48,82.43,95.89,382.39,80.36
7/16/1991,68.86,100.27,94.64,78.75,74.13,81.71,81.26,82.38,95.67,381.54,80.24
7/17/1991,68.48,100.16,96.39,78.5924,73.93,81.68,80.67,82.09,95.9,381.18,79.67
7/18/1991,69.53,101.08,97.14,79.0581,74.86,82.92,81.71,82.9,96.72,385.37,80.86
7/19/1991,70.15,100.69,97.11,78.8476,74.46,82.62,81.18,82.57,96.18,384.22,80.62
7/22/1991,70.06,100.48,96.81,78.3135,73.69,82.46,80.81,82.42,96.34,382.88,80.54
7/23/1991,69.03,99.35,95.29,77.5594,73.29,82.26,80.17,81.97,96.17,379.42,79.71
7/24/1991,69.01,99.79,95.22,77.0318,72.85,82.55,80.39,81.47,96.34,378.64,78.99
7/25/1991,69.58,100.63,95.32,77.6811,73.25,82.64,80.93,82.02,96.95,380.96,79.6
7/26/1991,69.43,101.1,94.92,77.4081,73.1,83.47,80.78,81.98,97.44,380.93,79.55
7/29/1991,69.9,102.6,96,77.5989,73.24,83.61,81.38,81.99,98.36,383.15,79.7
7/30/1991,70.22,103.81,96.93,78.4078,73.8,83.8,82.62,82.75,98.47,386.69,80.48
7/31/1991,70.19,104.52,96.82,78.6102,74.48,84.27,83.1,82.93,97.96,387.81,80.49
8/1/1991,70.84,104.54,96.95,78.3832,74.64,83.37,83.17,82.32,97.36,387.12,80.1
8/2/1991,70.73,105.14,96.25,78.2709,74.49,83.79,83.43,82.06,98.04,387.18,80.02
8/5/1991,70.26,104.53,96.01,77.6943,74.24,83.14,83.29,81.16,98.02,385.06,79.33
8/6/1991,70.8,106,97.43,78.9691,75.32,84.38,84.99,82.21,98.99,390.62,80.24
8/7/1991,70.04,106.09,96.89,79.1956,75.43,84.03,85.13,82.24,99.31,390.56,80.47
8/8/1991,69.77,105.49,95.79,79.4476,75.25,83.87,84.61,82.19,99.27,389.32,80.41
8/9/1991,69.27,105.06,94.91,78.8587,74.92,83.56,84.32,81.3,98.93,387.12,80.1
8/12/1991,69.41,105.25,94.7,79.1921,76.53,83.68,84.43,81.17,99.04,388.02,79.88
8/13/1991,69.91,105.55,94.57,79.9521,77.9,83.39,84.98,80.85,99.41,389.62,79.92
8/14/1991,70.31,105.42,94.06,80.1391,78.27,83.5,85.41,80.71,99.46,389.9,79.74
8/15/1991,69.82,105.6,94.11,79.4222,77.64,84.07,85.46,80.86,99.61,389.33,79.65
8/16/1991,68.34,104.5,93.89,78.4143,76.97,82.82,84.9,79.92,99.03,385.58,78.96
8/19/1991,66.74,101.93,93.25,76.0518,74.76,80.7,82.75,77.68,97.48,376.47,76.95
8/20/1991,67.23,102.53,93.71,76.5663,75.77,81.46,83.75,77.99,98.52,379.43,77.36
8/21/1991,68.71,105.99,95.45,79.4549,77.97,83.58,86.39,80.44,100.33,390.59,79.93
8/22/1991,68.49,105.85,95.89,79.2907,77.59,83.68,86.83,81.24,100.56,391.33,80.36
8/23/1991,68.96,106.22,96.35,80.136,77.54,84.31,87.09,82.7,100.49,394.17,81.65
8/26/1991,69.06,106.47,96.2,80.0117,77.49,84.34,86.7,82.99,100.37,393.85,81.49
8/27/1991,69.33,106.59,96.41,79.881,77.07,84.24,86.42,82.46,100.28,393.06,81
8/28/1991,69.26,107.94,97.46,80.7976,77.74,84.84,87.37,82.96,101.12,396.64,81.62
8/29/1991,69.76,108.27,97.27,80.6183,77.71,84.31,87.56,82.8,100.84,396.47,81.55
8/30/1991,69.75,107.26,96.98,80.4549,77.44,84.57,87.34,82.31,100.7,395.43,81.55
9/2/1991,69.75,107.26,96.98,80.4549,77.44,84.57,87.34,82.31,100.7,395.43,81.55
9/3/1991,69.68,106.28,96.54,79.3016,76.79,84.65,86.53,81.48,100.24,392.15,80.55
9/4/1991,69.31,105.32,96.37,78.7346,76.46,84.39,85.88,80.72,100.32,389.97,80.15
9/5/1991,68.73,105.37,96.81,78.3208,76.31,84.45,85.04,80.89,100.22,389.14,80.09
9/6/1991,69.03,105.89,96.91,78.1784,76.69,84.26,84.91,80.75,100.3,389.1,79.67
9/9/1991,69.52,105.89,96.58,78.0293,76.73,83.91,84.84,80.49,100.43,388.57,79.36
9/10/1991,68.42,105.08,95.79,77.2051,75.81,83.09,83.71,79.4,100.14,384.56,78.61
9/11/1991,68.78,105.37,96.07,77.2266,75.73,83.32,83.81,79.22,100.51,385.09,78.64
9/12/1991,69.92,106.22,96.01,77.8859,76.24,84.19,84.42,79.35,100.51,387.34,78.84
9/13/1991,68.08,105.27,95.14,77.3715,75.52,83.33,83.61,78.85,100.22,383.59,77.93
9/16/1991,67.84,105.87,96,77.9093,75.57,83.65,84.11,79.36,100.98,385.78,78.56
9/17/1991,68.22,106.35,95.77,77.8778,75.64,83.46,84.03,79.1,100.9,385.5,78.15
9/18/1991,68.75,106.8,95.83,78.163,76.05,83.69,84.56,79.35,101.23,386.94,78.28
9/19/1991,68.69,107.16,95.69,78.4985,76.54,84.01,84.45,79.45,101.03,387.56,78.39
9/20/1991,68.57,107.53,95.06,78.7446,77.01,83.8,84.44,79.45,101.37,387.92,78.69
9/23/1991,68.37,106.37,94.82,78.5243,76.36,83.71,83.76,78.98,101.33,385.92,78.3
9/24/1991,69.11,106.82,95.55,78.795,76.73,82.95,84.1,79.35,101.73,387.71,79.09
9/25/1991,69.12,106.16,95.46,78.3301,76.49,82.94,83.91,79.55,102.08,386.88,78.92
9/26/1991,69.29,105.59,95.17,78.2072,76.43,83.24,83.75,79.36,102.46,386.49,78.95
9/27/1991,68.37,104.62,95.23,78.2643,76.52,83.03,83.96,79.15,103.06,385.9,78.74
9/30/1991,68.71,105.5,95.7,78.4398,76.9,83.58,84.31,79.4,104.08,387.86,79.09
10/1/1991,68.24,106.22,96.22,78.5377,77.25,83.98,85.11,78.92,104.54,389.2,79.26
10/2/1991,67.61,106.15,96.29,78.3434,77.18,83.5,84.8,78.69,104.79,388.26,79
10/3/1991,66.15,105.24,95.78,77.6412,75.73,82.95,83.92,78.3,104.49,384.47,78.04
10/4/1991,65.89,104.45,95.33,77.0379,74.97,81.18,83.25,77.6,104.26,381.24,77.37
10/7/1991,66.07,103.71,95.29,76.7047,74.14,81.19,83.02,77.07,104.02,379.5,76.61
10/8/1991,65.8,103.73,95.75,77.0023,74.31,82.26,83.15,77.07,104.41,380.67,76.85
10/9/1991,65.43,103.02,95.3,75.4223,73.15,81.12,82.56,76.72,103.45,376.8,76.1
10/10/1991,67.15,103.76,96.13,76.1377,74.26,82.25,83.06,77.21,103.34,380.55,77.1
10/11/1991,67.22,103.87,96.43,76.3989,74.73,82.25,83.34,77.55,103.5,381.45,77.04
10/14/1991,68.33,104.77,98.44,77.5088,75.71,83.09,84.19,78.93,104.31,386.47,77.97
10/15/1991,70.15,106.36,98.55,78.4021,77.26,83.54,84.91,79.77,104.63,391.01,79.45
10/16/1991,70.22,106.89,98.59,78.9402,77.5,83.65,84.78,81.29,104.38,392.8,80.4
10/17/1991,68.99,106.94,98.88,78.5702,77.01,82.96,84.5,81.28,104.17,391.92,80.84
10/18/1991,69.38,106.79,99.11,78.9408,77.21,82.96,84.15,81.84,104.26,392.5,80.96
10/21/1991,69.25,105.64,98.98,78.2778,76.21,82.79,83.36,81.48,103.58,390.02,80.73
10/22/1991,68.91,106.22,98.42,77.048,75.8,82.51,82.39,81.32,103.36,387.83,80.48
10/23/1991,69.06,107.8,97.54,76.5703,75.64,82.6,82.52,81.23,103.54,387.94,80.63
10/24/1991,68.57,106.91,96.67,76.0774,75,81.89,82.15,80.48,103.51,385.07,79.81
10/25/1991,68.23,106.41,96.34,75.8486,74.58,82.42,82.35,80.2,104.06,384.2,79.19
10/28/1991,68.35,108.73,97.71,76.9663,76.03,83.57,83.4,80.91,104.78,389.52,80.29
10/29/1991,68.97,108.95,97.84,77.3088,76.76,84.35,83.98,81.12,105,391.48,80.69
10/30/1991,69.48,109.34,97.47,77.4907,77.91,84.64,84.32,81.6,105.56,392.96,80.81
10/31/1991,68.63,110.65,97.09,76.9746,77.64,84.94,84.2,81.59,105.3,392.46,80.67
11/1/1991,68.43,111.09,96.66,76.4756,77.18,84.92,83.99,81.12,105.21,391.32,80.39
11/4/1991,67.59,110.75,97.54,76.0668,76.59,84.63,83.86,80.75,104.9,390.28,80.19
11/5/1991,67.25,110.5,97.02,75.7417,76.18,84.39,83.72,80.45,104.74,388.71,79.62
11/6/1991,67.39,110.07,96.87,76.2397,76.58,85.04,84.18,80.69,105.34,389.97,79.91
11/7/1991,68.64,109.98,96.74,78.252,78.05,85.76,84.81,81.06,106.89,393.72,80.29
11/8/1991,69.05,109.51,95.98,78.2334,77.96,85.35,84.85,80.97,106.42,392.89,80.17
11/11/1991,69.14,110.37,95.75,77.8555,78.32,85.35,85.17,80.79,106.31,393.12,80.07
11/12/1991,69.57,112.18,95.9,79.0026,78.85,85.82,86.34,81.15,107.18,396.74,80.64
11/13/1991,69.69,112.25,95.63,79.3952,78.93,85.68,86.8,80.97,107.42,397.41,80.91
11/14/1991,69.95,112.02,95.28,79.3245,78.89,85.85,87.08,80.35,107.36,397.15,80.87
11/15/1991,66.69,107.06,92.43,75.7072,75.49,82.85,84.18,77.66,105.52,382.62,78.24
11/18/1991,67.32,108.81,93.35,76.5188,75.71,82.7,85.08,77.54,105.89,385.24,78.27
11/19/1991,66.82,107.25,92.58,75.1468,74.17,81.2,83.7,76.22,104.48,379.42,77.06
11/20/1991,66.32,108.18,91.8,74.7447,73.76,81.67,83.31,76.46,104.71,378.53,76.53
11/21/1991,66.5,108.78,91.74,75.0337,73.93,82.54,84.11,76.39,105.22,380.06,76.59
11/22/1991,66.05,107.63,90.07,74.3782,73.13,81.15,83.75,75.6,104.26,376.14,75.9
